StockCode,Description,CompletedRevenue,TotalQuantitySold,TotalInvoices,TotalCustomers,AverageInvoiceValue
37500,TEA TIME TEAPOT IN GIFT BOX,1972.46,338,80,53,24.66
20977,36 PENCILS TUBE WOODLAND,1971.93,1597,142,111,13.89
23020,GLASS  SONGBIRD STORAGE JAR,1965.3,165,69,65,28.48
22935,BAKING MOULD ROSE MILK CHOCOLATE,1964.25,673,52,46,37.77
21900,"KEY FOB , SHED",1963.03,3087,265,166,7.41
72802C,VANILLA SCENT CANDLE JEWELLED BOX,1960.37,673,85,62,23.06
22831,WHITE BROCANTE SOAP DISH,1960.2,684,104,91,18.85
22224,WHITE LOVEBIRD LANTERN,1955.9,682,114,88,17.16
23396,LE JARDIN BOTANIQUE CUSHION COVER,1955.73,523,138,113,14.17
21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,1953.35,2373,150,118,13.02
11001,ASSTD DESIGN RACING CAR PEN,1953.0,1252,62,44,31.5
23352,ROLL WRAP 50'S RED CHRISTMAS ,1949.76,1584,161,151,12.11
23227,FILIGREE HEART BUTTERFLY WHITE ,1947.06,1592,87,61,22.38
23360,SET 8 CANDLES VINTAGE DOILY,1941.75,1029,100,88,19.42
23251,VINTAGE RED ENAMEL TRIM MUG ,1941.7,1634,101,80,19.22
22824,3 TIER SWEETHEART GARDEN SHELF,1938.25,55,43,42,45.08
23500,KEY RING BASEBALL BOOT ASSORTED ,1935.05,1585,84,76,23.04
21033,JUMBO BAG CHARLIE AND LOLA TOYS,1934.75,922,108,75,17.91
22933,BAKING MOULD EASTER EGG MILK CHOC,1934.4,720,89,81,21.73
22121,NOEL WOODEN BLOCK LETTERS ,1930.89,333,114,94,16.94
22732,3D VINTAGE CHRISTMAS STICKERS ,1930.38,1522,126,102,15.32
22955,36 FOIL STAR CAKE CASES ,1929.14,1005,106,91,18.2
23374,RED SPOT PAPER GIFT BAG,1927.68,2424,121,108,15.93
85049G,CHOCOLATE BOX RIBBONS ,1926.33,1580,227,161,8.49
22478,BIRDHOUSE GARDEN MARKER ,1924.35,1407,75,58,25.66
23213,STAR WREATH DECORATION WITH BELL,1923.19,1595,121,95,15.89
23197,SKETCHBOOK MAGNETIC SHOPPING LIST,1921.24,1332,180,113,10.67
21993,FLORAL FOLK STATIONERY SET,1919.85,1354,204,150,9.41
23231,WRAP DOILEY DESIGN,1915.5,4675,162,124,11.82
22509,SEWING BOX RETROSPOT DESIGN ,1914.8,204,79,71,24.24
22863,SOAP DISH BROCANTE,1912.95,681,92,77,20.79
21506,"FANCY FONT BIRTHDAY CARD, ",1910.88,4740,250,171,7.64
22805,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,1909.18,1562,121,76,15.78
22080,RIBBON REEL POLKADOTS ,1902.3,1182,126,116,15.1
22744,MAKE YOUR OWN MONSOON CARD KIT,1898.83,833,146,123,13.01
23145,ZINC T-LIGHT HOLDER STAR LARGE,1896.54,2030,148,126,12.81
84880,WHITE WIRE EGG HOLDER,1896.15,303,65,51,29.17
16169E,WRAP 50'S  CHRISTMAS,1892.46,4563,149,143,12.7
21811,HANGING HEART WITH BELL,1889.11,4065,137,105,13.79
22959,WRAP CHRISTMAS VILLAGE,1888.42,4601,138,132,13.68
22792,FLUTED ANTIQUE CANDLE HOLDER,1888.31,2313,128,100,14.75
22592,CARDHOLDER HOLLY WREATH METAL,1886.08,506,91,79,20.73
35004C,SET OF 3 COLOURED  FLYING DUCKS,1882.65,393,38,28,49.54
22733,3D TRADITIONAL CHRISTMAS STICKERS,1882.31,1471,141,119,13.35
23161,REGENCY CAKE FORK,1881.6,1596,67,57,28.08
22996,TRAVEL CARD WALLET VINTAGE TICKET,1879.74,4551,291,154,6.46
23274,STAR T-LIGHT HOLDER WILLIE WINKIE,1875.06,1142,98,85,19.13
21249,WOODLAND  HEIGHT CHART STICKERS ,1874.4,672,79,68,23.73
22374,AIRLINE BAG VINTAGE JET SET RED,1874.34,446,155,108,12.09
22973,CHILDREN'S CIRCUS PARADE MUG,1873.33,1161,107,80,17.51
23291,DOLLY GIRL CHILDRENS CUP,1870.14,1540,142,103,13.17
71459,HANGING JAM JAR T-LIGHT HOLDERS,1867.33,2413,69,61,27.06
20992,JAZZ HEARTS PURSE NOTEBOOK,1867.05,4365,244,162,7.65
22763,KEY CABINET MA CAMPAGNE,1865.65,191,93,76,20.06
23491,VINTAGE JINGLE BELLS HEART,1864.5,226,76,64,24.53
22931,BAKING MOULD HEART WHITE CHOCOLATE,1863.31,788,109,94,17.09
23068,ALUMINIUM STAMPED HEART,1862.51,775,124,100,15.02
21556,CERAMIC STRAWBERRY MONEY BOX,1859.4,804,47,38,39.56
40016,CHINESE DRAGON PAPER LANTERNS,1850.54,5476,74,53,25.01
23289,DOLLY GIRL CHILDRENS BOWL,1844.85,1545,140,110,13.18
22574,HEART WOODEN CHRISTMAS DECORATION,1844.34,2112,156,130,11.82
23357,HOT WATER BOTTLE SEX BOMB,1843.55,435,88,79,20.95
37450,CERAMIC CAKE BOWL + HANGING CAKES,1841.0,668,98,47,18.79
23094,LE GRAND TRAY CHIC SET,1837.5,147,74,65,24.83
23235,STORAGE TIN VINTAGE LEAF,1835.24,704,92,86,19.95
23066,SMALL DECO JEWELLERY STAND,1831.65,229,70,63,26.17
22601,CHRISTMAS RETROSPOT ANGEL WOOD,1827.42,2238,150,121,12.18
47504K,ENGLISH ROSE GARDEN SECATEURS,1826.78,1958,174,141,10.5
23075,PARLOUR CERAMIC WALL HOOK,1823.4,444,71,55,25.68
22859,EASTER TIN BUNNY BOUQUET,1812.9,1138,126,110,14.39
22736,RIBBON REEL MAKING SNOWMEN ,1808.96,1092,151,129,11.98
22897,OVEN MITT APPLES DESIGN,1807.16,1268,169,133,10.69
22291,HANGING CHICK CREAM DECORATION,1802.35,1243,90,72,20.03
22747,POPPY'S PLAYHOUSE BATHROOM,1800.9,879,169,123,10.66
23367,SET 12 COLOUR PENCILS SPACEBOY ,1797.45,2769,230,183,7.82
23315,IVORY REFECTORY CLOCK,1796.9,190,75,63,23.96
22807,SET OF 6 T-LIGHTS TOADSTOOLS,1796.64,676,107,74,16.79
22070,SMALL RED RETROSPOT MUG IN BOX ,1795.39,604,82,62,21.9
23005,TRAVEL CARD WALLET I LOVE LONDON,1788.72,4396,175,105,10.22
21034,REX CASH+CARRY JUMBO SHOPPER,1787.9,1882,857,479,2.09
84968A,SET OF 16 VINTAGE ROSE CUTLERY,1787.85,147,48,32,37.25
10135,COLOURING PENCILS BROWN TUBE,1786.69,1938,117,92,15.27
21042,RED RETROSPOT APRON ,1785.0,300,104,71,17.16
22412,METAL SIGN NEIGHBOURHOOD WITCH ,1784.7,877,113,73,15.79
23371,SET 36 COLOUR PENCILS SPACEBOY ,1783.97,1505,133,98,13.41
21112,SWISS ROLL TOWEL PINK  SPOTS,1782.18,666,27,21,66.01
22536,MAGIC DRAWING SLATE PURDEY,1781.76,4720,143,109,12.46
22477,WATERING CAN GARDEN MARKER,1778.1,1290,70,63,25.4
37446,MINI CAKE STAND WITH HANGING CAKES,1775.05,1297,148,93,11.99
23028,DRAWER KNOB CRACKLE GLAZE BLUE,1761.69,1085,111,87,15.87
21916,SET 12 RETRO WHITE CHALK STICKS,1761.46,4339,247,156,7.13
21584,RETROSPOT SMALL TUBE MATCHES,1754.9,1066,146,119,12.02
21622,VINTAGE UNION JACK CUSHION COVER,1745.4,356,90,75,19.39
21990,MODERN FLORAL STATIONERY SET,1745.05,1219,177,127,9.86
22571,ROCKING HORSE RED CHRISTMAS ,1744.43,2111,175,151,9.97
21873,IF YOU CAN'T STAND THE HEAT MUG,1737.34,1574,87,61,19.97
22593,CHRISTMAS GINGHAM STAR,1736.97,2049,138,106,12.59
23128,FELTCRAFT BOY JEAN-PAUL KIT,1735.98,354,117,103,14.84
15044D,RED PAPER PARASOL,1735.74,630,73,53,23.78
22534,MAGIC DRAWING SLATE SPACEBOY ,1735.08,4330,201,172,8.63
22788,BROCANTE COAT RACK,1734.05,205,46,33,37.7
22932,BAKING MOULD TOFFEE CUP CHOCOLATE,1734.0,770,62,50,27.97
22639,SET OF 4 NAPKIN CHARMS HEARTS,1733.37,763,127,101,13.65
22588,CARD HOLDER GINGHAM HEART,1732.41,605,135,110,12.83
22710,WRAP I LOVE LONDON ,1732.0,4400,99,79,17.49
22119,PEACE WOODEN BLOCK LETTERS,1731.36,348,103,82,16.81
23228,FILIGREE HEART BIRD WHITE ,1726.3,1397,78,58,22.13
22186,RED STAR CARD HOLDER,1723.79,801,118,111,14.61
23090,VINTAGE GLASS T-LIGHT HOLDER,1723.62,2130,122,96,14.13
23359,SET OF 12 T-LIGHTS VINTAGE DOILY,1721.7,918,70,67,24.6
21845,DAIRY MAID STRIPE MUG,1721.09,1907,82,63,20.99
22562,MONSTERS STENCIL CRAFT,1720.42,1398,190,149,9.05
22466,FAIRY TALE COTTAGE NIGHT LIGHT,1719.15,913,81,74,21.22
22858,EASTER TIN KEEPSAKE,1718.85,1081,110,103,15.63
51014A,"FEATHER PEN,HOT PINK",1716.41,3549,156,106,11.0
22803,IVORY EMBROIDERED QUILT ,1715.9,46,25,18,68.64
23148,MINIATURE ANTIQUE ROSE HOOK IVORY,1715.7,2070,230,142,7.46
22712,CARD DOLLY GIRL ,1711.29,4295,211,139,8.11
20982,12 PENCILS TALL TUBE SKULLS,1709.91,2019,215,158,7.95
22115,METAL SIGN EMPIRE TEA,1706.81,1495,183,152,9.33
21114,LAVENDER SCENTED FABRIC HEART,1705.28,1352,128,105,13.32
21041,RED RETROSPOT OVEN GLOVE DOUBLE,1699.2,576,138,100,12.31
23073,GEORGIAN TRINKET BOX,1694.0,142,59,49,28.71
22027,TEA PARTY BIRTHDAY CARD,1692.71,4141,260,178,6.51
21586,KINGS CHOICE GIANT TUBE MATCHES,1691.25,731,66,54,25.62
23358,HOT STUFF HOT WATER BOTTLE,1689.9,528,67,61,25.22
21564,PINK  HEART SHAPE LOVE BUCKET ,1686.52,1016,103,63,16.37
21471,STRAWBERRY RAFFIA FOOD COVER,1680.15,489,91,77,18.46
23109,LED TEA LIGHTS,1679.24,596,54,54,31.1
16161U,WRAP SUKI AND FRIENDS,1677.0,4050,133,105,12.61
21989,PACK OF 20 SKULL PAPER NAPKINS,1675.24,2068,205,130,8.17
21870,I CAN ONLY PLEASE ONE PERSON MUG,1668.89,1357,137,97,12.18
23160,REGENCY TEA SPOON,1666.8,1404,60,50,27.78
21988,PACK OF 6 SKULL PAPER PLATES,1663.3,2194,147,101,11.31
51008,AFGHAN SLIPPER SOCK PAIR,1662.95,511,19,16,87.52
21992,VINTAGE PAISLEY STATIONERY SET,1658.69,1163,199,160,8.34
70006,LOVE HEART POCKET WARMER,1657.7,2620,78,72,21.25
22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,1654.96,4796,275,225,6.02
21917,SET 12 KIDS  WHITE CHALK STICKS,1652.82,4094,185,132,8.93
22055,MINI CAKE STAND  HANGING STRAWBERY,1651.88,1240,141,101,11.72
20674,GREEN POLKADOT BOWL,1649.06,1373,149,101,11.07
22414,DOORMAT NEIGHBOURHOOD WITCH ,1645.67,253,70,37,23.51
22832,BROCANTE SHELF WITH HOOKS,1645.45,155,69,64,23.85
47570B,TEA TIME TABLE CLOTH,1642.68,180,26,23,63.18
21068,VINTAGE BILLBOARD LOVE/HATE MUG,1637.71,1535,125,81,13.1
21056,DOCTOR'S BAG SOFT TOY,1631.23,173,65,46,25.1
23096,PETIT TRAY CHIC,1629.83,1007,117,89,13.93
22544,MINI JIGSAW SPACEBOY,1627.88,4413,123,101,13.23
23270,SET OF 2 CERAMIC PAINTED HEARTS ,1625.9,1166,118,96,13.78
21494,ROTATING LEAVES T-LIGHT HOLDER,1624.73,1228,126,79,12.89
23434,3 RAFFIA RIBBONS 50'S CHRISTMAS ,1624.5,1782,133,128,12.21
21245,GREEN POLKADOT PLATE ,1623.1,1014,100,72,16.23
21718,RED METAL BEACH SPADE ,1613.67,1289,143,106,11.28
85035C,ROSE 3 WICK MORRIS BOX CANDLE,1611.45,1105,107,86,15.06
23214,JINGLE BELL HEART ANTIQUE GOLD,1610.27,765,91,78,17.7
85061W,WHITE JEWELLED HEART DECORATION,1609.8,1986,108,77,14.91
22789,T-LIGHT HOLDER SWEETHEART HANGING,1605.84,838,126,101,12.74
22651,GENTLEMAN SHIRT REPAIR KIT ,1602.72,1992,94,73,17.05
21534,DAIRY MAID LARGE MILK JUG,1593.45,327,124,94,12.85
85015,SET OF 12  VINTAGE POSTCARD SET,1591.42,2130,113,103,14.08
23155,KNICKERBOCKERGLORY MAGNET ASSORTED ,1590.3,1986,109,83,14.59
22156,HEART DECORATION WITH PEARLS ,1588.16,1875,152,106,10.45
23101,SILVER STARS TABLE DECORATION,1574.6,1948,190,175,8.29
20981,12 PENCILS TALL TUBE WOODLAND,1573.35,1851,208,157,7.56
22037,ROBOT BIRTHDAY CARD,1573.12,3795,257,173,6.12
84356,POMPOM CURTAIN,1570.15,337,46,32,34.13
23370,SET 36 COLOURING PENCILS DOILY,1568.86,1294,102,84,15.38
23217,LAUREL HEART ANTIQUE SILVER,1567.0,1290,84,64,18.65
22110,BIRD HOUSE HOT WATER BOTTLE,1564.61,618,154,116,10.16
46000M,POLYESTER FILLER PAD 45x45cm,1562.4,1008,133,92,11.75
85034C,3 ROSE MORRIS BOXED CANDLES,1560.64,1072,131,109,11.91
22305,COFFEE MUG PINK PAISLEY DESIGN,1559.44,684,44,35,35.44
23317,BLUE REFECTORY CLOCK ,1557.9,162,70,56,22.26
84596F,SMALL MARSHMALLOWS PINK BOWL,1554.91,3285,287,166,5.42
23122,PARTY CHARMS 50 PIECES,1554.31,2093,94,89,16.54
22602,RETROSPOT WOODEN HEART DECORATION,1553.92,1852,164,132,9.48
23244,ROUND STORAGE TIN VINTAGE LEAF,1550.56,852,95,80,16.32
22332,SKULLS PARTY BAG + STICKER SET,1549.5,974,128,92,12.11
23399,HOME SWEET HOME HANGING HEART,1546.43,1823,176,146,8.79
23483,HANGING  BUTTERFLY T-LIGHT HOLDER,1541.62,1322,66,57,23.36
22928,YELLOW GIANT GARDEN THERMOMETER,1535.57,251,88,62,17.45
21394,RED POLKADOT BEAKER ,1533.94,3810,113,88,13.57
21207,SKULL AND CROSSBONES  GARLAND ,1533.9,982,84,74,18.26
23273,HEART T-LIGHT HOLDER WILLIE WINKIE,1533.84,928,97,88,15.81
37495,FAIRY CAKE BIRTHDAY CANDLE SET,1532.4,424,83,74,18.46
22828,REGENCY MIRROR WITH SHUTTERS,1530.0,10,7,7,218.57
22428,ENAMEL FIRE BUCKET CREAM,1528.73,221,92,75,16.62
22934,BAKING MOULD EASTER EGG WHITE CHOC,1527.2,560,69,65,22.13
21544,SKULLS  WATER TRANSFER TATTOOS ,1522.4,1872,113,80,13.47
22434,BALLOON PUMP WITH 10 BALLOONS,1521.23,779,112,94,13.58
22292,HANGING CHICK  YELLOW DECORATION,1520.0,1088,88,76,17.27
22891,TEA FOR ONE POLKADOT,1519.01,345,104,69,14.61
22361,GLASS JAR DAISY FRESH COTTON WOOL,1513.25,539,123,92,12.3
22479,DAISY GARDEN MARKER,1513.1,1078,54,48,28.02
22377,BOTTLE BAG RETROSPOT ,1510.89,1038,105,83,14.39
22674,FRENCH TOILET SIGN BLUE METAL,1506.71,1250,142,106,10.61
21967,PACK OF 12 SKULL TISSUES,1506.24,5166,173,129,8.71
22398,MAGNETS PACK OF 4 SWALLOWS,1506.18,2527,226,166,6.66
21981,PACK OF 12 WOODLAND TISSUES ,1505.97,5271,189,142,7.97
23372,SET 36 COLOUR PENCILS DOLLY GIRL,1502.72,1280,98,75,15.33
22220,CAKE STAND LOVEBIRD 2 TIER WHITE,1499.5,214,74,64,20.26
22799,SWEETHEART WIRE FRUIT BOWL,1497.8,198,79,70,18.96
22852,DOG BOWL VINTAGE CREAM,1490.92,350,107,82,13.93
22165,"DIAMANTE HEART SHAPED WALL MIRROR, ",1490.65,267,38,27,39.23
22284,HEN HOUSE DECORATION,1486.65,901,99,78,15.02
23181,BULL DOG BOTTLE TOP WALL CLOCK,1484.25,185,69,60,21.51
22313,OFFICE MUG WARMER PINK,1482.89,553,54,41,27.46
15060B,FAIRY CAKE DESIGN UMBRELLA,1482.87,411,95,68,15.61
23394,POSTE FRANCE CUSHION COVER,1481.25,395,119,90,12.45
22594,CHRISTMAS GINGHAM TREE,1480.06,1744,125,93,11.84
22913,RED COAT RACK PARIS FASHION,1479.69,327,95,78,15.58
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,1471.35,673,52,43,28.3
85049C,ROMANTIC PINKS RIBBONS ,1471.35,1198,205,162,7.18
22671,FRENCH LAUNDRY SIGN BLUE METAL,1465.31,919,103,75,14.23
84818,DANISH ROSE PHOTO FRAME,1461.6,1424,99,79,14.76
22154,ANGEL DECORATION 3 BUTTONS ,1457.52,3532,111,87,13.13
21591,COSY HOUR CIGAR BOX MATCHES ,1456.39,1187,143,114,10.18
23391, I LOVE LONDON MINI BACKPACK,1454.0,360,68,58,21.38
23287,RED VINTAGE SPOT BEAKER,1452.3,1782,146,114,9.95
85206A,CREAM FELT EASTER EGG BASKET,1450.2,916,103,99,14.08
21713,CITRONELLA CANDLE FLOWERPOT,1448.1,701,125,103,11.58
21206,STRAWBERRY HONEYCOMB  GARLAND ,1446.6,1220,75,55,19.29
21509,COWBOYS AND INDIANS BIRTHDAY CARD ,1444.75,3581,203,142,7.12
72807B,SET/3 OCEAN SCENT CANDLE JEWEL BOX,1443.5,350,78,56,18.51
23462,ROCOCO WALL MIRROR WHITE,1442.25,75,43,42,33.54
22312,OFFICE MUG WARMER POLKADOT,1437.29,497,92,61,15.62
21626,VINTAGE UNION JACK PENNANT,1437.15,737,73,64,19.69
22314,OFFICE MUG WARMER CHOC+BLUE,1434.09,517,93,58,15.42
22095,LADS ONLY TISSUE BOX,1432.04,1578,102,72,14.04
22530,MAGIC DRAWING SLATE DOLLY GIRL ,1431.96,3514,181,143,7.91
23280,FOLDING BUTTERFLY MIRROR HOT PINK ,1427.99,1839,128,84,11.16
22364,GLASS JAR DIGESTIVE BISCUITS,1427.02,518,94,68,15.18
22282,12 EGG HOUSE PAINTED WOOD,1425.27,111,64,39,22.27
22176,BLUE OWL SOFT TOY,1423.35,489,98,62,14.52
21898,POTTING SHED ROSE CANDLE,1423.03,445,7,6,203.29
22816,CARD MOTORBIKE SANTA,1420.2,3438,176,158,8.07
23226,FILIGREE HEART DAISY WHITE,1418.59,1151,70,55,20.27
22085,PAPER CHAIN KIT SKULLS ,1415.65,507,73,62,19.39
20668,DISCO BALL CHRISTMAS DECORATION,1408.56,12714,181,111,7.78
22526,WHEELBARROW FOR CHILDREN ,1406.4,112,67,55,20.99
22975,SPACEBOY CHILDRENS EGG CUP,1405.97,1118,142,110,9.9
20963,APPLE BATH SPONGE,1400.49,1102,122,83,11.48
23368,SET 12 COLOUR PENCILS DOLLY GIRL ,1398.35,2155,178,134,7.86
21192,WHITE BELL HONEYCOMB PAPER ,1391.85,925,39,32,35.69
72807A,SET/3 ROSE CANDLE IN JEWELLED BOX,1389.28,336,65,52,21.37
21792,CLASSIC FRENCH STYLE BASKET GREEN ,1388.65,331,70,58,19.84
84971S,SMALL HEART FLOWERS HOOK ,1386.75,1679,114,69,12.16
22047,EMPIRE GIFT WRAP,1384.0,3400,105,93,13.18
22675,FRENCH KITCHEN SIGN BLUE METAL,1378.89,1140,120,93,11.49
22853,CAT BOWL VINTAGE CREAM,1377.45,425,100,75,13.77
23546,WRAP PAISLEY PARK ,1375.5,3275,120,106,11.46
23348,CHILDRENS TOY COOKING UTENSIL SET,1371.48,680,122,95,11.24
22458,CAST IRON HOOK GARDEN FORK,1371.43,513,14,12,97.96
21872,GLAMOROUS  MUG,1370.73,1269,119,81,11.52
22198,LARGE POPCORN HOLDER ,1370.45,873,53,42,25.86
22445,PENCIL CASE LIFE IS BEAUTIFUL,1368.2,472,93,72,14.71
21055,TOOL BOX SOFT TOY ,1368.14,146,82,63,16.68
23267,SET OF 4 SANTA PLACE SETTINGS,1367.34,1110,90,78,15.19
85034B,3 WHITE CHOC MORRIS BOXED CANDLES,1362.44,884,90,80,15.14
22731,3D CHRISTMAS STAMPS STICKERS ,1361.95,1075,105,85,12.97
23086,ZINC  STAR T-LIGHT HOLDER ,1361.54,1186,35,30,38.9
22436,12 COLOURED PARTY BALLOONS,1360.3,2090,138,104,9.86
21714,CITRONELLA CANDLE GARDEN POT,1356.25,1085,126,106,10.76
72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,1351.94,508,72,53,18.78
85040A,S/4 PINK FLOWER CANDLES IN BOWL,1348.19,807,125,86,10.79
22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,1348.08,3292,162,127,8.32
23414,ZINC BOX SIGN HOME,1348.01,139,62,58,21.74
22583,PACK OF 6 HANDBAG GIFT BOXES,1346.4,528,76,72,17.72
23334,IVORY WICKER HEART SMALL,1345.5,2154,95,83,14.16
22498,WOODEN REGATTA BUNTING,1344.7,226,95,67,14.15
21537,RED RETROSPOT PUDDING BOWL,1341.75,327,57,50,23.54
23104,IVORY CAFE HANGING LAMP ,1330.5,114,43,37,30.94
23250,VINTAGE RED TRIM ENAMEL BOWL ,1328.59,1079,87,63,15.27
23232,WRAP VINTAGE PETALS  DESIGN,1327.5,3275,103,95,12.89
85232B,SET OF 3 BABUSHKA STACKING TINS,1326.6,268,9,7,147.4
22714,CARD BIRTHDAY COWBOY,1324.89,3367,155,125,8.55
23034,DRAWER KNOB CERAMIC BLACK,1323.65,941,77,56,17.19
22358,KINGS CHOICE TEA CADDY ,1323.58,450,109,87,12.14
23470,CARD HOLDER LOVE BIRD LARGE ,1323.4,220,75,70,17.65
72349B,SET/6 PURPLE BUTTERFLY T-LIGHTS,1318.98,689,91,51,14.49
21578,WOODLAND DESIGN  COTTON TOTE BAG,1318.5,586,82,68,16.08
21232,STRAWBERRY CERAMIC TRINKET POT,1314.54,1038,75,57,17.53
22285,HANGING HEN ON NEST DECORATION,1311.75,795,87,72,15.08
90057,DIAMANTE RING ASSORTED IN BOX.,1311.36,1008,22,21,59.61
21829,DINOSAUR KEYRINGS ASSORTED,1310.25,6354,130,103,10.08
22696,WICKER WREATH LARGE,1307.36,694,123,108,10.63
22199,FRYING PAN RED RETROSPOT,1307.25,379,96,70,13.62
22713,CARD I LOVE LONDON ,1307.08,3297,148,108,8.83
21832,CHOCOLATE CALCULATOR,1306.73,785,115,83,11.36
21069,VINTAGE BILLBOARD TEA MUG,1305.99,1167,50,35,26.12
22076,6 RIBBONS EMPIRE  ,1304.37,1035,113,96,11.54
23271,CHRISTMAS TABLE SILVER CANDLE SPIKE,1303.54,1606,74,68,17.62
22600,CHRISTMAS RETROSPOT STAR WOOD,1303.54,1540,143,120,9.12
22306,SILVER MUG BONE CHINA TREE OF LIFE,1303.29,1138,99,85,13.16
21705,BAG 500g SWIRLY MARBLES,1299.21,1377,110,89,11.81
22357,KINGS CHOICE BISCUIT TIN,1298.6,316,85,69,15.28
84510A,SET OF 4 ENGLISH ROSE COASTERS,1295.59,1063,144,100,9.0
21519,GIN & TONIC DIET GREETING CARD ,1294.98,3145,190,100,6.82
22982,PANTRY PASTRY BRUSH,1293.3,1033,145,120,8.92
21111,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",1291.55,789,50,46,25.83
22676,FRENCH BLUE METAL DOOR SIGN 1,1291.14,1030,137,61,9.42
21039,RED RETROSPOT SHOPPING BAG,1284.66,510,77,57,16.68
22818,CARD CHRISTMAS VILLAGE,1284.12,3078,160,150,8.03
35953,FOLKART STAR CHRISTMAS DECORATIONS,1282.41,3017,85,81,15.09
22948,METAL DECORATION NAUGHTY CHILDREN ,1281.46,1450,97,68,13.21
22503,CABIN BAG VINTAGE PAISLEY,1279.2,64,16,15,79.95
23538,WALL ART VINTAGE HEART,1278.87,327,27,25,47.37
21470,FLOWER VINE RAFFIA FOOD COVER,1278.63,338,114,77,11.22
22949,36 DOILIES DOLLY GIRL,1277.45,881,72,69,17.74
22227,HANGING HEART MIRROR DECORATION ,1276.85,1969,170,83,7.51
72802A,ROSE SCENT CANDLE IN JEWELLED BOX,1275.92,316,55,44,23.2
23249,VINTAGE RED ENAMEL TRIM PLATE,1274.7,790,67,56,19.03
23378,PACK OF 12 50'S CHRISTMAS TISSUES,1272.93,3419,144,127,8.84
21200,MULTICOLOUR HONEYCOMB PAPER GARLAND,1272.9,1010,39,33,32.64
22399,MAGNETS PACK OF 4 CHILDHOOD MEMORY,1272.4,1100,84,69,15.15
22716,CARD CIRCUS PARADE,1272.27,3088,214,167,5.95
84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,1271.2,630,129,106,9.85
22976,CIRCUS PARADE CHILDRENS EGG CUP ,1268.59,1011,111,77,11.43
21686,MEDINA STAMPED METAL STOOL,1268.35,33,18,6,70.46
22304,COFFEE MUG BLUE PAISLEY DESIGN,1268.06,744,47,38,26.98
84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1267.99,295,73,48,17.37
23000,TRAVEL CARD WALLET TRANSPORT,1265.1,3019,203,123,6.23
21328,BALLOONS  WRITING SET ,1262.2,760,187,135,6.75
35924,HANGING FAIRY CAKE DECORATION,1262.1,724,31,25,40.71
47503A,ASS FLORAL PRINT MULTI SCREWDRIVER,1261.69,2754,161,123,7.84
22130,PARTY CONE CHRISTMAS DECORATION ,1260.53,1505,88,78,14.32
84580,MOUSE TOY WITH PINK T-SHIRT,1260.05,335,120,91,10.5
23469,CARD HOLDER LOVE BIRD SMALL,1255.76,320,63,61,19.93
21987,PACK OF 6 SKULL PAPER CUPS,1254.74,2050,147,106,8.54
23119,PACK OF 6 LARGE FRUIT STRAWS ,1254.01,2120,114,96,11.0
21619,4 VANILLA BOTANICAL CANDLES,1252.5,900,121,99,10.35
22461,SAVOY ART DECO CLOCK,1251.25,231,45,35,27.81
22591,CARDHOLDER GINGHAM CHRISTMAS TREE,1250.84,374,63,53,19.85
21897,POTTING SHED CANDLE CITRONELLA,1250.82,402,2,1,625.41
22335,HEART DECORATION PAINTED ZINC ,1250.2,2024,123,88,10.16
23040,PAPER LANTERN 9 POINT SNOW STAR ,1249.5,234,32,30,39.05
15044A,PINK PAPER PARASOL ,1248.28,428,78,53,16.0
23505,PLAYING CARDS I LOVE LONDON ,1247.25,1065,104,93,11.99
22911,PAPER CHAIN KIT LONDON,1246.94,438,81,68,15.39
71038,WHITE HANGING BEADS CANDLE HOLDER,1244.95,239,47,34,26.49
20961,STRAWBERRY BATH SPONGE ,1243.11,979,126,82,9.87
23373,VINTAGE CHRISTMAS PAPER GIFT BAG,1241.66,1563,88,86,14.11
21793,CLASSIC FRENCH STYLE BASKET BROWN,1240.44,296,66,57,18.79
22473,TV DINNER TRAY VINTAGE PAISLEY,1239.39,437,79,58,15.69
84279P,CHERRY BLOSSOM  DECORATIVE FLASK,1238.97,335,93,79,13.32
23237,SET OF 4 KNICK KNACK TINS LEAVES ,1237.2,304,53,51,23.34
22419,LIPSTICK PEN RED,1236.12,2812,157,94,7.87
84795B,SUNSET CHECK HAMMOCK,1233.75,165,39,32,31.63
85054,FRENCH ENAMEL POT W LID,1233.31,551,87,66,14.18
21528,DAIRY MAID TRADITIONAL TEAPOT ,1230.05,179,86,62,14.3
85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,1228.25,977,106,84,11.59
22742,MAKE YOUR OWN PLAYTIME CARD KIT,1228.18,622,87,77,14.12
22363,GLASS JAR MARMALADE ,1226.94,454,57,46,21.53
22475,SKULL DESIGN TV DINNER TRAY,1225.95,281,109,49,11.25
22905,CALENDAR IN SEASON DESIGN,1225.49,478,67,50,18.29
